pair,window,feature_set,method,n_test,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,fault_detection_recall,fault_recall_ci_lo,fault_recall_ci_hi,false_event_rate,event_level_recall,event_recall_ci_lo,event_recall_ci_hi,n_true_instances_test,gradual_shift_recall,n_gradual_shift_instances,gradual_shift_median_latency_s,gradual_shift_n_missed
humidity,5,n/a,baseline_one_out_of_two_comparator,70529,0.4824677483861444,0.46406600573866896,0.5048782285226862,0.4953015330645665,0.476776064407354,0.5109884664004732,0.03264685232857477,0.009600676709454055,0.060105468197500025,0.07845013154747668,0.0811965811965812,0.05128205128205128,0.11965811965811966,234,0.017543859649122806,57,1650.010321,56
humidity,5,a_single_only,logistic_regression,70529,0.4678043580236995,0.4614883297135611,0.47353647208129995,0.49920352624261033,0.4980501461342279,0.5001849602037177,0.0005850690381465013,0.0,0.0017952324222736836,0.0035876584549150922,0.008547008547008548,0.0,0.021367521367521368,234,0.017543859649122806,57,1650.010321,56
humidity,5,a_single_only,decision_tree,70529,0.665927032963261,0.6397525679558923,0.6928575438878417,0.6221337606294055,0.6038077858001789,0.642294809829767,0.2523987830564007,0.20910260339094305,0.3314932079765655,0.011241329825400622,0.4829059829059829,0.4188034188034188,0.5513888888888888,234,0.12280701754385964,57,390.001057,50
humidity,5,a_single_only,random_forest,70529,0.6511918892185955,0.6250676027840897,0.6807067632493106,0.6145657822297055,0.5953726763288649,0.6385828981206463,0.24537795459864264,0.18841877779656455,0.3259024112948613,0.024156900263094954,0.49572649572649574,0.43162393162393164,0.5642094017094016,234,0.15789473684210525,57,690.001868,48
humidity,5,b_single_plus_cross,logistic_regression,70529,0.5600052682163592,0.5236217609131956,0.5947580703681646,0.5489850196689406,0.527649825642751,0.5696247357968376,0.10109992979171542,0.06916574584797495,0.16601631138391015,0.00597943075819182,0.1752136752136752,0.1282051282051282,0.2222222222222222,234,0.07017543859649122,57,645.001734,53
humidity,5,b_single_plus_cross,decision_tree,70529,0.6545607172128318,0.6284245757640593,0.6829326661941386,0.6191946870872044,0.5992695311756561,0.6431565503410462,0.2587175286683829,0.21352442525162726,0.33566843388433004,0.030136331021286773,0.5555555555555556,0.49145299145299143,0.6239316239316239,234,0.21052631578947367,57,390.001055,45
humidity,5,b_single_plus_cross,random_forest,70529,0.6609357615055997,0.6340173563108433,0.6911201913283002,0.6216710800711424,0.6017041780592454,0.6460334623178048,0.2582494734378657,0.2113497164547451,0.3408167045677284,0.03420234393685721,0.48717948717948717,0.4230769230769231,0.5470085470085471,234,0.17543859649122806,57,630.001724,47
humidity,5,c_plus_ah,logistic_regression,70529,0.5631253145498551,0.5247388737934322,0.5980724049628761,0.5508533459830502,0.528814497087327,0.5732450830635369,0.10554645448162883,0.07626411179441028,0.1764419893692387,0.006457785218847166,0.21367521367521367,0.1623931623931624,0.26495726495726496,234,0.07017543859649122,57,645.001734,53
humidity,5,c_plus_ah,decision_tree,70529,0.6578210089129771,0.6325557872349619,0.6856651289962383,0.6181037362263546,0.5995058077556391,0.6400730122087248,0.24888836882752166,0.1998050073085455,0.3274209292199634,0.027744558718010046,0.5384615384615384,0.47435897435897434,0.5982905982905983,234,0.17543859649122806,57,405.0011095,47
humidity,5,c_plus_ah,random_forest,70529,0.6659074580729979,0.6389800592519423,0.6935839525772466,0.622394120740602,0.6033278432607897,0.643980802230548,0.25345190732506434,0.20346570917523107,0.33247047767440147,0.017699115044247787,0.46153846153846156,0.3974358974358974,0.5299145299145299,234,0.10526315789473684,57,840.0024085,51
humidity,5,d_cross_only,logistic_regression,70529,0.5619893085721003,0.5238831197334847,0.6000061644239191,0.5501686963690726,0.5286298411453725,0.5735027588561846,0.10051486075356893,0.06978035396797486,0.16957860120005575,0.0007175316909830184,0.16666666666666666,0.11965811965811966,0.21794871794871795,234,0.05263157894736842,57,390.001057,54
humidity,5,d_cross_only,decision_tree,70529,0.644729575825088,0.6199322995332341,0.6688658836382584,0.6068537222138837,0.5904897738701165,0.6253993866693526,0.2236133863795928,0.18016545792628536,0.30158509210893897,0.015068165510643387,0.49145299145299143,0.43162393162393164,0.5555555555555556,234,0.2631578947368421,57,390.001057,42
humidity,5,d_cross_only,random_forest,70529,0.6473785292563335,0.6232717661742105,0.6724634147525116,0.6076379571232849,0.5906924623470791,0.6261594589801263,0.2223262344956705,0.1819815652792542,0.2950837607680673,0.015068165510643387,0.5,0.4358974358974359,0.5598290598290598,234,0.17543859649122806,57,390.0010635,47
humidity,10,n/a,baseline_single_channel_rule,69715,0.4776640684126478,0.4709695083346398,0.4845034025820952,0.4979135820965431,0.495673946295411,0.500164525541297,0.017852948085506224,0.013731289284960143,0.02156158917185269,0.03145900421104781,0.5299145299145299,0.4658119658119658,0.5897435897435898,234,0.43859649122807015,57,660.001832,32
humidity,10,n/a,baseline_one_out_of_two_comparator,69715,0.4824771755830318,0.46286891344100645,0.5062469367791654,0.49552727568429167,0.47588438550295753,0.5125001730084194,0.03276955602536998,0.009900918178031308,0.062332823619577746,0.07926678226405746,0.0811965811965812,0.04700854700854701,0.1154914529914529,234,0.017543859649122806,57,1650.010321,56
humidity,10,a_single_only,logistic_regression,69715,0.4674098193612647,0.46154203292958745,0.4731622651940198,0.49913198405680104,0.498270070560496,0.4998004032414382,0.0004698144233027954,0.0,0.001449651800138607,0.002229378251176616,0.01282051282051282,0.0,0.029914529914529916,234,0.017543859649122806,57,1680.010426,56
